lambda_nm,vprime,
629.4000244,0.1452429295,
629.2999878,0.1466288716,
629.2000122,0.1478145868,
629.0999756,0.1491530389,
629,0.1507515907,
628.9000244,0.151854068,
628.7999878,0.1531489938,
628.7000122,0.1550987512,
628.5999756,0.1543497294,
628.5,0.1541481167,
628.4000244,0.1561054438,
628.2999878,0.1579511017,
628.2000122,0.159738183,
628.0999756,0.1612690687,
628,0.1630841196,
627.9000244,0.1645736247,
627.7999878,0.1554328054,
627.7000122,0.1480598003,
627.5999756,0.148778528,
627.5,0.1501071304,
627.4000244,0.151192233,
627.2999878,0.1514687836,
627.2000122,0.1402259767,
627.0999756,0.132803902,
627,0.1330139488,
626.9000244,0.1334979385,
626.7999878,0.1340725273,
626.7000122,0.1331725866,
626.5999756,0.1338792294,
626.5,0.1348521113,
626.4000244,0.1353732944,
626.2999878,0.1363542378,
626.2000122,0.1371088922,
626.0999756,0.1384636313,
626,0.1397290081,
625.9000244,0.1400664598,
625.7999878,0.1408779323,
625.7000122,0.1421422511,
625.5999756,0.1436074078,
625.5,0.144586131,
625.4000244,0.1459150165,
625.2999878,0.1462179124,
625.2000122,0.1479840875,
625.0999756,0.1486418098,
625,0.1509088725,
624.9000244,0.151932776,
624.7999878,0.1538564414,
624.7000122,0.1551439911,
624.5999756,0.1572093517,
624.5,0.158636272,
624.4000244,0.1605857611,
624.2999878,0.1631432921,
624.2000122,0.1639239937,
624.0999756,0.1663141847,
624,0.1630426794,
623.9000244,0.1631612629,
623.7999878,0.1647415459,
623.7000122,0.1670949757,
623.5999756,0.1691608131,
623.5,0.1715242863,
623.4000244,0.1670487672,
623.2999878,0.1497745812,
623.2000122,0.1484832764,
623.0999756,0.1491121799,
623,0.1491912901,
622.9000244,0.1389034539,
622.7999878,0.1336231381,
622.7000122,0.1340567321,
622.5999756,0.133466512,
622.5,0.1343261451,
622.4000244,0.1350634992,
622.2999878,0.1363778412,
622.2000122,0.1370230764,
622.0999756,0.1377804875,
622,0.1391100138,
621.9000244,0.1398823708,
621.7999878,0.1413459778,
621.7000122,0.1417957097,
621.5999756,0.1434253454,
621.5,0.1443255544,
621.4000244,0.1462584436,
621.2999878,0.1475302875,
621.2000122,0.1483315825,
621.0999756,0.1500117481,
621,0.1518424302,
620.9000244,0.1533131897,
620.7999878,0.1551925838,
620.7000122,0.156909436,
620.5999756,0.159150973,
620.5,0.1605568826,
620.4000244,0.1630257964,
620.2999878,0.1651590466,
620.2000122,0.1659498364,
620.0999756,0.1689716876,
620,0.1709869653,
619.9000244,0.1740140915,
619.7999878,0.1760796309,
619.7000122,0.1789633483,
619.5999756,0.1769361645,
619.5,0.1702183336,
619.4000244,0.1729763299,
619.2999878,0.1746698767,
619.2000122,0.1775581986,
619.0999756,0.1706626266,
619,0.1483798176,
618.9000244,0.1465465426,
618.7999878,0.1435593069,
618.7000122,0.1347982883,
618.5999756,0.133850798,
618.5,0.1354769021,
618.4000244,0.1355644017,
618.2999878,0.1378558278,
618.2000122,0.1380401254,
618.0999756,0.1389322579,
618,0.1395065188,
617.9000244,0.1412222534,
617.7999878,0.1429050118,
617.7000122,0.1435710937,
617.5999756,0.1452340931,
617.5,0.1464847773,
617.4000244,0.1479571909,
617.2999878,0.149973318,
617.2000122,0.1512429416,
617.0999756,0.1530986577,
617,0.1547049433,
616.9000244,0.156624496,
616.7999878,0.1590941399,
616.7000122,0.1601862907,
616.5999756,0.1625173539,
616.5,0.1647242606,
616.4000244,0.166613251,
616.2999878,0.1694187522,
616.2000122,0.1719395965,
616.0999756,0.1747699678,
616,0.1776735634,
615.9000244,0.1801094711,
615.7999878,0.1806408614,
615.7000122,0.1840453446,
615.5999756,0.1863459498,
615.5,0.1890732646,
615.4000244,0.1929110587,
615.2999878,0.1878472567,
615.2000122,0.1766412109,
615.0999756,0.1781059355,
615,0.1794047803,
614.9000244,0.1619995236,
614.7999878,0.1428705156,
614.7000122,0.1365674585,
614.5999756,0.1358606815,
614.5,0.1367876083,
614.4000244,0.1377363056,
614.2999878,0.138587743,
614.2000122,0.1400376111,
614.0999756,0.140811801,
614,0.1423722655,
613.9000244,0.1441414207,
613.7999878,0.1453866661,
613.7000122,0.1467965543,
613.5999756,0.1483986825,
613.5,0.1505818516,
613.4000244,0.1516721249,
613.2999878,0.1537097394,
613.2000122,0.1556161493,
613.0999756,0.1572637409,
613,0.1587926298,
612.9000244,0.162033245,
612.7999878,0.1627452523,
612.7000122,0.1661099792,
612.5999756,0.168533057,
612.5,0.171570465,
612.4000244,0.1739275753,
612.2999878,0.1765482277,
612.2000122,0.1800313741,
612.0999756,0.1821494997,
612,0.1859875023,
611.9000244,0.1885973215,
611.7999878,0.1922369599,
611.7000122,0.1962035,
611.5999756,0.197793901,
611.5,0.1981984377,
611.4000244,0.2007121295,
611.2999878,0.2050226629,
611.2000122,0.207980603,
611.0999756,0.195350036,
611,0.1804207861,
610.9000244,0.1734431684,
610.7999878,0.1439669579,
610.7000122,0.1376427263,
610.5999756,0.1387002319,
610.5,0.1395084709,
610.4000244,0.1409690231,
610.2999878,0.1421442181,
610.2000122,0.1432603896,
610.0999756,0.1441604048,
610,0.1462317556,
609.9000244,0.1480102837,
609.7999878,0.1497263759,
609.7000122,0.1511316299,
609.5999756,0.1532991529,
609.5,0.1545317769,
609.4000244,0.1574814618,
609.2999878,0.1593913436,
609.2000122,0.1615122706,
609.0999756,0.1634773761,
609,0.1663893908,
608.9000244,0.1680538505,
608.7999878,0.1710063815,
608.7000122,0.1735731661,
608.5999756,0.1764725596,
608.5,0.1787522882,
608.4000244,0.1821139902,
608.2999878,0.185135141,
608.2000122,0.1882779747,
608.0999756,0.1926676631,
608,0.1956673265,
607.9000244,0.1998875439,
607.7999878,0.2040393502,
607.7000122,0.2081402987,
607.5999756,0.2118028253,
607.5,0.2169750631,
607.4000244,0.218689099,
607.2999878,0.2140420824,
607.2000122,0.2156379223,
607.0999756,0.2163052261,
607,0.1872901767,
606.9000244,0.1556509435,
606.7999878,0.1407393068,
606.7000122,0.1411828101,
606.5999756,0.1431157291,
606.5,0.1443411857,
606.4000244,0.1451735944,
606.2999878,0.1464472413,
606.2000122,0.1485582441,
606.0999756,0.1497899592,
606,0.151157707,
605.9000244,0.1532586515,
605.7999878,0.1547602415,
605.7000122,0.1575800478,
605.5999756,0.1599507928,
605.5,0.1614369154,
605.4000244,0.1643146425,
605.2999878,0.1669232249,
605.2000122,0.1695754081,
605.0999756,0.1720389128,
605,0.1746314764,
604.9000244,0.1780127436,
604.7999878,0.181268692,
604.7000122,0.1832526773,
604.5999756,0.1864061058,
604.5,0.1906286776,
604.4000244,0.1941694766,
604.2999878,0.1974233836,
604.2000122,0.2021046877,
604.0999756,0.2066116333,
604,0.210553661,
603.9000244,0.2154828906,
603.7999878,0.2200956494,
603.7000122,0.2222972214,
603.5999756,0.2262805104,
603.5,0.2311560363,
603.4000244,0.2363189906,
603.2999878,0.2364262789,
603.2000122,0.228669554,
603.0999756,0.2033361644,
603,0.1496298462,
602.9000244,0.1445307732,
602.7999878,0.1448304206,
602.7000122,0.1474492848,
602.5999756,0.1486987472,
602.5,0.1502894908,
602.4000244,0.1518485993,
602.2999878,0.1540014744,
602.2000122,0.1554463506,
602.0999756,0.157741338,
602,0.1600043625,
601.9000244,0.1620869339,
601.7999878,0.1646137834,
601.7000122,0.1674868912,
601.5999756,0.1702323258,
601.5,0.1728135198,
601.4000244,0.1757617891,
601.2999878,0.1789017916,
601.2000122,0.182525143,
601.0999756,0.1851759404,
601,0.1880745143,
600.9000244,0.1923382133,
600.7999878,0.1954701245,
600.7000122,0.1988655627,
600.5999756,0.2029992193,
600.5,0.2073215693,
600.4000244,0.2112957984,
600.2999878,0.2151653618,
600.2000122,0.2200904042,
600.0999756,0.2252413183,
600,0.2301054448,
599.9000244,0.2358878255,
599.7999878,0.2408124655,
599.7000122,0.2462082803,
599.5999756,0.2515513003,
599.5,0.2555886507,
599.4000244,0.2544048131,
599.2999878,0.2214494944,
599.2000122,0.1642004997,
599.0999756,0.1484756619,
599,0.1501333117,
598.9000244,0.1517480016,
598.7999878,0.1534325778,
598.7000122,0.1557181478,
598.5999756,0.1576008797,
598.5,0.1601366103,
598.4000244,0.1618159413,
598.2999878,0.1642266065,
598.2000122,0.1668194383,
598.0999756,0.1703530103,
598,0.1723387986,
597.9000244,0.17496562,
597.7999878,0.1777811795,
597.7000122,0.1799248904,
597.5999756,0.1833444685,
597.5,0.1859407127,
597.4000244,0.1900585145,
597.2999878,0.1948599964,
597.2000122,0.19871746,
597.0999756,0.2030034363,
597,0.206158489,
596.9000244,0.2082550973,
596.7999878,0.2120970935,
596.7000122,0.2189558446,
596.5999756,0.2231796682,
596.5,0.2283538133,
596.4000244,0.2351216227,
596.2999878,0.2397477627,
596.2000122,0.2455565929,
596.0999756,0.2505256236,
596,0.2578292787,
595.9000244,0.2643536031,
595.7999878,0.2659986615,
595.7000122,0.2623448372,
595.5999756,0.2617883682,
595.5,0.2109646201,
595.4000244,0.1584040374,
595.2999878,0.1563138664,
595.2000122,0.1582559496,
